Title	Creator	Performer	Lang.	Rec Date	Genre	Sub-genre	Topic	Mood	Dominant Instrument	Ins. Sk.	Lyr	Voc	Mel	Rhy	ddr	T'po	Stu In
Sucker	The Jonas Brothers, Tedder, Bells, Dukes	The Jonas Brothers	English	2019	pop	alternative	loving someone	happy	guitar	8	6	7	8	9	8	8	ga
The Break Up	Machine Gun Kelly	Machine Gun Kelly	English	2017	hip-hop	rap/trap	breaking up	chill	synthesizer	6	6	5	6	7	6	6	ga
What Goes Around Comes Around	Justin T., Danja, Timbaland	Justin Timberlake	English	2006	r&b	null	betrayal	regret	guitar	8	5	7	8	7	6	8	ga
Once in a Lifetime	Talking Heads	Talking Heads	English	1981	rock	soft rock	depression	love	guitar	7	7	5	10	10	6	9	JW
Just Like Honey	The jesus and mary chain 	The jesus and mary chain 	English	1985	rock	pop rock	Racing	fast	guitar	10	10	9	9	7	8	8	JW
Deaf to the Hate	Braydbunch	Braydbunch	English	2018	hip-hop	rap	resentment	sad	drum	6	5	8	8	6	9	5	JW
Everybody wants to rule the world	Tears For Fears	Tears For Fears	English	1985	rock	soul hop	upliftng	hype	synthesizer	7	6	5	5	10	10	9	JW
Ha	Juvenile 	Juvenile 	English	1998	hip-hop 	rap	isolation 	hype	vocals	10	9	8	8	7	6	8	JW
I got 5 on it	luniz	luniz	English	1995	hip-hop 	Rap 	lifestlye	Hustle	vocals	10	10	6	9	4	3	9	JW
Jump Around	Lawrence Muggerud, Erik Schrody	    Lawrence Muggerud, Erik Schrody	English	1992	hip  hop	rap	uplifting	bounce	synthesizer	10	5	5	3	8	9	4	JW
N.Y State of mind	Nas	Nas	English	1992	hip-hop	rap	influentual	up beat	vocals	9	9	8	8	10	5	5	JW
rocket Man	Elton John, Bernie Taupin	Elton john	English	1972	rock	soft rock	family love	uplifting	drum	9	8	7	7	6	9	5	JW
Under Pressure	Queen, David Bowie	Queen, David Bowie	English	1981	rock	soft rock	ethical	exciting	guitar	6	9	7	8	10	5	10	JW
aLIEz	Hiroyuki Sawano	Hiroyuki Sawano	Japanese	2014	pop	jpop	pain	hype	sythesizer	8	8	8	8	8	0	7	JZ
BLUE 	BIGBANG	BIGBANG	Korean	2012	kpop	Rap	Love	sad	sythesizer	5	6	7	7	7	4	6	JZ
DDU-DU DDU-DU	BlackPink	BlackPink	Korean	2018	Kpop	Rap	boys	upbeat	sythesizer	4	6	7	7	7	7	5	JZ
Deja vu	Dave Rodgers	Dave Rodgers	English	2006	Eurobeat	Disco	Racing	Fast	sythesizer	5	8	8	8	8	8	10	JZ
Gurenge	LiSA	LiSA	Japanese	2019	pop	jpop	Move on	sad	sythesizer	5	8	8	8	8	6	7	JZ
Heaven	Wheesung	Ailee	Korean	2012	Kpop	Null	Love	Happy	sythesizer	0	8	8	8	8	6	5	JZ
Kaen	queen bee	queen bee	Japanese	2019	Rap	jpop	motivation	chill	sythesizer	5	7	7	9	10	7	6	JZ
Running in the 90s	Max Coveri	Max Coveri	English	1998	Eurobeat	90s	Racing	Fast	sythesizer	4	7	6	7	9	8	10	JZ
Sakura	Che'Nelle	Che'Nelle	Japanese	2011	pop	jpop	Promise	smooth	sythesizer	5	8	9	9	8	4	4	JZ
What is Love?	Twice	Twice	Korean	2018	kpop	Rap	love		sythesizer	4	7	7	7	7	4	6	JZ
Blem	Drake 	Drake 	English	2017	hip-hop 	rap	honesty	danceable	synthesizer	9	8	8	9	9	9	7	KN
Headlines	Drake	Drake	English	2011	hip-hop 	rap	self confidence 	hype	synthesizer	6	10	7	9	8	6	6	KN
Hold On, We're Going Home	Drake	Drake, Majid Jordan 	English	2013	hip-hop	rap	love	calm	synthesizer	8	9	8	8	9	1	3	KN
In the Morning 	J cole	J cole, Drake	English	2011	hip-hop 	soul	flirting 	smooth	synthesizer	8	8	7	8	9	3	4	KN
Inmortal	Aventura	Aventura	Spanish	2019	Latin	Bachata	love	danceable	synthesizer	8	8	9	9	9	10	7	KN
Long Way 2 Go	Cassie 	Cassie 	English	2006	r&b 	soul	too good for you	empowering 	synthesizer	6	8	7	7	8	5	5	KN
Me, Myself and I 	Beyonce	Beyonce 	English	2003	pop	null	independence 	empowering	synthesizer	9	10	10	9	9	1	3	KN
Moment 4 life	Nicki MInaj	Nicki MInaj, Drake	English	2010	hip-hop 	rap	self confidence 	hype	synthesizer	7	9	9	8	9	2	5	KN
Tonight (Best You Ever Had)	John Legend 	John Legend, Ludacris	English	2012	r&b 	soul	flirting 	smooth 	synthesizer	8	8	9	9	9	2	4	KN
Triggered 	Jhene Aiko	Jhene Aiko 	English	2019	r&b 	soul	breakup	hurt	synthesizer	9	9	10	9	8	1	2	KN
Passionfruit	Nana Rogues, Drake	Drake, Zoe kravitz	English	2017	Dance Hall	R&B	Love	Chill	Synthesizer	9	9	9	10	10	6	9	KR
I Don't Know You 	The Marias 	The Marias 	English	2017	Jazz	R&B	Love	Chill	Guitar & Drums 	10	9	9	9	9	6	8	KR
Bonnie & Clyde 	Deanfluenza, zxxx	Dean	Korean & English	2016	R&B	Soul	Relationship Poblems, Issues 	Sad, Chill	Synthesizer	10	10	10	9	9	9	9	KR
Daydream	J-Hope, Pdogg	J-Hope	Korean 	2018	pop	K-pop	Fantasy	Funcky	Synthesizer	10	10	10	9	9	10	10	KR
Psycho	Post Malone, Louis Bell	Post Malone, Ty Dolla $ign	English	2018	R&B	pop	Trust Issues	Sad	Synthesizer	8	9	8	8	8	9	7	KR
Oxygen 	Jackson Wang, BOYTOY	Jackson Wang	English 	2019	hip-hop	Rap	Love and oxygen	Chill	Synthesizer	9	10	9	10	10	7	10	KR
Test Drive	RL Grime	Joji	English	2018	R&B	Soul	Love 	Sad	synthesizer	8	9	9	10	10	5	7	KR
Lo Que Siento 	CUCO	CUCO	Spanish & English	2017	pop	Alternative Dream pop	Emotional	Vape wave 	synthesizer	7	9	8	10	10	3	9	KR
Jasmine	CODE KUNST	DPR Live	Korean	2017	Rap	hip-hop	Love	Chill	synthesizer	9	9	10	9	10	7	9	KR
Cold 	Rich Brian 	Rich Brian 	English	2016	Rap	hip-hop	Emotional	Chill	synthesizer	8	8	8	9	9	7	8	KR
Donald Trump	Mac Miller	Mac Miller	English	2011	hip-hop	Rap	inspirational	Uplifting	synthesizer	6	7	6	4	8	3	4	KXC
emotions	iann dior	iann dior	English	2019	hip-hop	rap	heartbreak	sad	piano	7	8	7	8	7	5	5	KXC
EUNG FREESTYLE	Dream Perfect Regime	LIVE, SIK-K, PUNCHNELLO, OWEN OVADOZ, FLOWSIK	Korean	2016	Rap	Korean	prospering	hype	synthesizer	6	7	6	6	8	5	8	KXC
Going Down to Underwater	Keith Ape, Ski Mask the Slump God	Keith Ape, Ski Mask the Slump God	English	2017	hip-hop	rap	flexing	hype	drum	5	7	7	6	8	5	8	KXC
Mars	Maxo Kream, Lil Uzi Vert	Maxo Kream, Lil Uzi Vert	English	2017	hip-hop	rap	lifestyle	energetic	piano	6	7	8	8	7	5	5	KXC
Mona Lisa	Lil Wayne, Kendrick Lamar	Lil Wayne, Kendrick Lamar	English	2018	hip-hop	rap	storytelling	exciting	piano	6	8	7	9	7	4	6	KXC
Overwhelming	Matt OX	Matt OX	English	2017	hip-hop	rap	flexing	energetic	synthesizer	6	6	6	8	7	7	5	KXC
Sad	Kodie Shane, Lil Yachty	Kodie Shane, Lil Yachty	English	2016	hip-hop	rap	isolation	sad	snares	5	6	7	8	8	3	3	KXC
Using You	Mars Argo	Mars Argo	English	2010	pop	Alternative	Relationship	emotional	drums	8	7	8	8	7	8	5	KXC
Yikes	Kanye West	Kanye West	English	2018	hip-hop	rap	storytelling	energetic	cymbal	5	7	4	6	6	5	4	KXC
Billie Jean	Michael Jackson	Michael Jackson	English	1982	pop	soul	paternity	angry	synthesizer	4	8	9	9	10	10	4	ljf
Affection	Between friends	Between Friends	English	2019	pop		Looking for love	Lonley	Guitar	7	10	8	8	6	5	5	MA
Beneath The Mask	Rike Schlmalz	Lyn	English	2017	blues	Jazz	Identity	relaxed	drum	6	7	7	8	6	4	4	MA
Break In To Break Out	Benjamin franklin	Lyn	Englsih	2018	pop	Jazz	Breaking out	Uplifting	Guitar	8	8	9	6	7	6	7	MA
Daylily	Patrick Miranda	Movements	English	2017	rock	Indie	Depression	nostalgic	Drums	7	8	7	5	8	3	6	MA
From Ritz To Bubbles	Alex and Tunner	Arctic Monkeys	English	2006	rock	Indie	Night out	Happy	Guitar	10	7	8	5	8	6	8	MA
Hiding With Boys	Neil Kennedy and Creeper	Creeper	English	2016	rock	Punk	hiding	Helpless	Guitar	9	8	6	4	8	4	7	MA
Violet	Courtney Love and Eric Erlandson	Courtney Love/ Hole	English	1994	rock	Grunge	Abandoned romance	Rebel	Guitar	9	8	9	5	7	5	7	MA
popstars	Madison Beer, (G)-I-DLE, Jaira Burns	KDA	Korean	2018	KPOP	Rap	Power	uplifting	sythesizer	5	9	9	5	6	10	8	MA
Kathleen	Catfish and the Bottlemen	Catfish and the Bottlemen	English	2014	rock	Indie	Problems	chill	Guitar	8	6	6	3	5	5	6	MA
What You Want	Shane Stevens, Savannah	Savannah	English	2017	pop	Punk	Need	chill	Drum	8	7	8	5	6	6	6	MA
Die For You	The Weeknd	The Weeknd	English	2016	R&B	Alternative	Love	Chill	Bass	5	6	7	9	9	1	3	NC
Best Part	Daniel Caesar	Daniel Caesar, H.E.R	English	2017	R&B	null	Love	Chill	Guitar	7	8	8	8	8	2	3	NC
Freudian	Daniel Caesar	Daniel Caesar	English	2017	R&B	null	Regret	Chill	Guitar	4	6	7	9	9	2	3	NC
Heaven	Khalid	Khalid	English	2018	R&B	alternative	Emotional	Chill	Synthesizer	5	9	6	7	7	7	2	NC
Almost Love	Sabrina Carpenter	Sabrina Carpenter	English	2018	pop	null	Excitement	Upbeat	Synthesizer	8	7	7	6	8	6	8	NC
Paris	Sabrina Carpenter	Sabrina Carpenter	English	2018	pop	null	Love	Calm	Guitar	9	6	6	7	9	6	5	NC
in my head	Ariana Grande	Ariana Grande	English	2019	pop	null	Regret	Calm	Synthesizer	3	7	10	9	9	2	4	NC
better off	Ariana Grande	Ariana Grande	English	2018	pop	null	Heartbroken	Sad	Synthesizer	4	10	4	5	5	1	2	NC
Beautiful	Bazzi	Bazzi	English	2018	pop	null	Love	Chill	Synthesizer	5	10	10	7	7	3	3	NC
Almost is Never Enough	Ariana Grande, Nathan Sykes	Ariana Grande, Nathan Sykes	English	2013	pop	null	Regret	Sad	Piano	5	8	8	6	6	3	3	NC
August	Azerrz	Azerrz	English	2018	R&B	Soul	Exes	sad	vocals	5	10	10	9	10	0	4	P.H
Changes 	DeJ Loaf	Dej Loaf	English	2018	hip-hop	rap	Old Friends 	uplifting	synthesizer	10	10	9	8	10	10	10	P.H
Diamonds 	Issac D,  Jamel P, James S, Joshua C, Micheal M, Rakim M	ASAP Twelvyy	english	2017	hip-hop	rap	fame	gangsta	synthesizer	10	8	6	9	10	0	8	P.H
Drama	Roy Woods, Drake	Roy woods	english	2015	 R&B	soul	girlfriend	light hearted	vocals	0	8	9	10	10	4	7	P.H
I'll be fine	Juice WRLD	Juice WRLD	english	2018	hip-hop	hip-hop	moving on	upbeat	synthesizer	7	9	7	6	8	7	8	P.H
Legends	Juice WRLD	Juice WRLD	english	2018	hip-hop	rap	dying too soon	mellow	synthesizer	9	10	7	8	9	0	9	P.H
Lucid Dreams	Juice WRLD	Juice WRLD	english	2017	hip-hop	emo rap	nighmares	upbeat	synthesizer	10	9	7	7	10	8	9	P.H
Poison	Elliott Straite, Kwamé Holland	Bell Biv DeVoe	english	1989	 R&B	contemporary R&B	poisonous girls	upbeat	timbales	9	9	7	8	10	9	9	P.H
Romeo & Juliet	Trippie Redd	Trippie Redd	english	2017	hip-hop	rap	love	love	synthesizer	7	10	9	7	8	0	4	P.H
Sweater Weather	The Neighborhood	The Neighborhood	English	2011	indie	indie pop	love	sad	drum	10	9	9	9	10	5	7	P.H
abusadora	oro solido	oro solido	spanish	1997	Latin	Merengue	love	excitment	tambora	8	7	7	7	8	8	8	RN
blue bird 	yoshiki mizumo, ikimono gakari and the band	ikimono gakari	Japanese	2008	pop	jpop	someone special	sad	Null	8	8	8	8	7	8	7	RN
el Diente de oro	el ciego de Nagua	el  ciego de Nagua	spanish	2017	Latin	Merengue	gold tooth, hood	sad	Accordion	9	6	7	7	7	9	8	RN
endless story 	yuna ito	yuna ito	Japanese	2005	pop	jpop	love	sad, happy	voice, synthesizer	8	8	7	7	8	7	7	RN
ft.	Funkist	funkist	Japanese	2010	rock	Jrock	not giving up 	uplifting	synthesizer	8	9	8	7	8	8	8	RN
In my world	Rookiez is Punk'd	rookiez is punk'd	Japanese	2011	rock	jrock	depressed	sad	guitar	8	10	7	7	8	0	7	RN
indestructible	Disturbed	disutrbed	english	2008	rock	hardrock	overwhelming	carzy	guitar	9	8	8	7	8	7	4	RN
Kuchizuke Daimond	weaver	weaver	Japanese	2016	pop	jpop	love	sad	piano	8	8	7	8	8	6	6	RN
Miwa change	miwa, Fumiko Orikasa	miwa	Japanese	2011	rock, pop	jpop, jrock 	finding yourself	sad	Null	8	6	9	7	7	6	8	RN
share the world	TVXQ	TVXQ	Japanese	2009	pop	jpop	understanding	sad, happy	synthesizer	8	7	7	7	9	6	6	RN
Act Up	JT, EarlThePearll, Lil Yachty	City Girls	English	2018	Rap	Trap 	Scamming	Diva	Synthesizer	4	10	10	8	6	10	6	SG
Bleach	Dom McLennon, ​bearface, Ryan Beatty, Joba, Ameer Vann, Merlyn Wood, Matt Champion & Kevin Abstract	BROCKHAMPTON	English	2017	hip-hop, R&B	Altpop	Depression	Helplessness	Synthesizer	6	10	10	9	9	3	5	SG
FANCY	Jeon Goon, Black Eyed Pelseung	TWICE	Korean	2019	pop	Kpop	Love	Happy	Synthesizer	5	8	10	8	10	10	7	SG
ODD FUTURE	katsuya, TAKUYA	Uverworld	Japanese	2018	rock	Jrock	Escaping Darkness	Excited	Synthesizer	10	9	6	9	9	7	9	SG
Peace Sign	Kenshi Yonezu	Kenshi Yonezu, Youhei Makabe, Yu Suto, Masaki Hori, Ichiyo Izawa	Japanese	2017	rock	Jrock	Self Strength	Uplifiting	Guitar	10	9	7	9	8	7	9	SG
Gotta Go	B.E.P, Jeongoon	Chung Ha	Korean	2019	pop	Kpop	Loving too late	Sexy	Synthesizer	7	10	10	9	9	10	5	SG
Bon Bon Chocolate	JQ, Tomboy, Yunsu, jiwon Lee	Everglow	Korean	2019	pop	Kpop	Possiblities	Bad Girl	Synthesizer	6	8	10	7	8	10	5	SG
Needy	Ariana Grande, Tayla Parx, Tommy Brown, Victoria Monet	Ariana Grande	English	2019	pop	null	Relationship Anxieties	Helplessness	Piano/ Synthesizer	7	9	10	6	9	2	3	SG
Home	J-Hope, ADORA, Julia Ross, Krysta Youngs, Lauren Dyson, Pdogg, RM, Suga, Tushar Apte, Jaegyeon Song, Bobby Jeong	BTS	Korean	2019	pop	Kpop	Love	Excited/Comforted	Synthesizer	6	10	10	9	9	10	7	SG
Honesty	Pink Sweat$	Pink Sweat$	English	2018	R&B & Soul	null	Love	Calm	Guitar	7	10	9	8	8	2	2	SG